cluster_spec,policy_name,seed,lambda,utilization,average_completion_time,total_completion_time,window_duration
v100=10.p100=5.k80=5,gandiva,5,3600,0.753,108753.786 seconds (30.21 hours), 2738544.167 seconds (760.71 hours), 1912602.417248
v100=10.p100=5.k80=5,gandiva,5,4800,0.575,73476.220 seconds (20.41 hours), 2892581.776 seconds (803.49 hours), 2550136.556331
v100=10.p100=5.k80=5,gandiva,5,14400,0.199,63234.242 seconds (17.57 hours), 7204697.334 seconds (2001.30 hours), 7650409.668993
v100=10.p100=5.k80=5,gandiva,5,7200,0.398,64411.944 seconds (17.89 hours), 3808320.746 seconds (1057.87 hours), 3825204.834496
v100=10.p100=5.k80=5,gandiva,9,3600,0.715,65079.802 seconds (18.08 hours), 2478259.612 seconds (688.41 hours), 1770762.392285
v100=10.p100=5.k80=5,gandiva,9,4800,0.591,57792.412 seconds (16.05 hours), 2928372.232 seconds (813.44 hours), 2361016.523046
v100=10.p100=5.k80=5,gandiva,9,14400,0.200,56343.009 seconds (15.65 hours), 7676389.431 seconds (2132.33 hours), 7083049.569139
v100=10.p100=5.k80=5,gandiva,9,7200,0.395,56360.036 seconds (15.66 hours), 4025870.149 seconds (1118.30 hours), 3541524.784570
v100=10.p100=5.k80=5,gandiva,8,3600,0.770,130880.339 seconds (36.36 hours), 2637502.641 seconds (732.64 hours), 1879475.630340
v100=10.p100=5.k80=5,gandiva,8,4800,0.645,79093.609 seconds (21.97 hours), 2949742.877 seconds (819.37 hours), 2505967.507121
v100=10.p100=5.k80=5,gandiva,8,14400,0.219,66681.801 seconds (18.52 hours), 7716842.494 seconds (2143.57 hours), 7517902.521362
v100=10.p100=5.k80=5,gandiva,8,7200,0.434,67363.762 seconds (18.71 hours), 4107062.017 seconds (1140.85 hours), 3758951.260681
v100=10.p100=5.k80=5,allox,5,3600,0.877,98703.408 seconds (27.42 hours), 4179970.132 seconds (1161.10 hours), 1912602.417248
v100=10.p100=5.k80=5,allox,5,4800,0.589,66861.163 seconds (18.57 hours), 2666864.312 seconds (740.80 hours), 2550136.556331
v100=10.p100=5.k80=5,allox,5,14400,0.199,63124.092 seconds (17.53 hours), 7204697.409 seconds (2001.30 hours), 7650409.668993
v100=10.p100=5.k80=5,allox,5,7200,0.390,62447.751 seconds (17.35 hours), 3783122.335 seconds (1050.87 hours), 3825204.834496
v100=10.p100=5.k80=5,allox,9,3600,0.784,58681.181 seconds (16.30 hours), 3247926.446 seconds (902.20 hours), 1770762.392285
v100=10.p100=5.k80=5,allox,9,4800,0.561,53582.441 seconds (14.88 hours), 3135008.701 seconds (870.84 hours), 2361016.523046
v100=10.p100=5.k80=5,allox,9,14400,0.200,56343.009 seconds (15.65 hours), 7676389.431 seconds (2132.33 hours), 7083049.569139
v100=10.p100=5.k80=5,allox,9,7200,0.388,55387.611 seconds (15.39 hours), 4016508.343 seconds (1115.70 hours), 3541524.784570
v100=10.p100=5.k80=5,allox,8,3600,0.935,109879.211 seconds (30.52 hours), 4756063.427 seconds (1321.13 hours), 1879475.630340
v100=10.p100=5.k80=5,allox,8,4800,0.633,73284.470 seconds (20.36 hours), 3002662.059 seconds (834.07 hours), 2505967.507121
v100=10.p100=5.k80=5,allox,8,14400,0.219,66678.269 seconds (18.52 hours), 7716842.494 seconds (2143.57 hours), 7517902.521362
v100=10.p100=5.k80=5,allox,8,7200,0.424,66197.290 seconds (18.39 hours), 4104176.324 seconds (1140.05 hours), 3758951.260681
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,3600,0.841,86115.371 seconds (23.92 hours), 2447297.567 seconds (679.80 hours), 1912602.417248
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,4800,0.665,75709.163 seconds (21.03 hours), 2722331.781 seconds (756.20 hours), 2550136.556331
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,14400,0.257,81212.417 seconds (22.56 hours), 7391339.188 seconds (2053.15 hours), 7650409.668993
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,7200,0.471,75269.810 seconds (20.91 hours), 3839368.843 seconds (1066.49 hours), 3825204.834496
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,9,3600,0.817,64605.441 seconds (17.95 hours), 2444777.830 seconds (679.10 hours), 1770762.392285
