cluster_spec,policy_name,seed,lambda,utilization,average_completion_time,total_completion_time,window_duration
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,3600,0.841,86115.371 seconds (23.92 hours), 2447297.567 seconds (679.80 hours), 1912602.417248
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,4800,0.665,75709.163 seconds (21.03 hours), 2722331.781 seconds (756.20 hours), 2550136.556331
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,14400,0.257,81212.417 seconds (22.56 hours), 7391339.188 seconds (2053.15 hours), 7650409.668993
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,7200,0.471,75269.810 seconds (20.91 hours), 3839368.843 seconds (1066.49 hours), 3825204.834496
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,9,3600,0.817,64605.441 seconds (17.95 hours), 2444777.830 seconds (679.10 hours), 1770762.392285
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,9,4800,0.650,61903.656 seconds (17.20 hours), 2925854.329 seconds (812.74 hours), 2361016.523046
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,9,14400,0.250,70261.285 seconds (19.52 hours), 7873245.256 seconds (2187.01 hours), 7083049.569139
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,9,7200,0.461,64917.302 seconds (18.03 hours), 4154731.051 seconds (1154.09 hours), 3541524.784570
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,8,3600,0.891,109579.772 seconds (30.44 hours), 2588426.704 seconds (719.01 hours), 1879475.630340
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,8,4800,0.701,79649.774 seconds (22.12 hours), 3016338.898 seconds (837.87 hours), 2505967.507121
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,8,14400,0.276,88071.867 seconds (24.46 hours), 7862782.519 seconds (2184.11 hours), 7517902.521362
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,8,7200,0.500,80559.783 seconds (22.38 hours), 4211111.908 seconds (1169.75 hours), 3758951.260681
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,5,3600,0.967,319874.678 seconds (88.85 hours), 6028176.280 seconds (1674.49 hours), 1912602.417248
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,5,4800,0.865,116768.000 seconds (32.44 hours), 3254060.190 seconds (903.91 hours), 2550136.556331
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,5,14400,0.288,94135.653 seconds (26.15 hours), 7531026.241 seconds (2091.95 hours), 7650409.668993
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,5,7200,0.614,102921.952 seconds (28.59 hours), 4145013.220 seconds (1151.39 hours), 3825204.834496
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,9,3600,0.984,110680.369 seconds (30.74 hours), 3722054.876 seconds (1033.90 hours), 1770762.392285
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,9,4800,0.839,90100.551 seconds (25.03 hours), 3544707.736 seconds (984.64 hours), 2361016.523046
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,9,14400,0.273,74630.932 seconds (20.73 hours), 7968108.187 seconds (2213.36 hours), 7083049.569139
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,9,7200,0.591,82806.107 seconds (23.00 hours), 4481981.376 seconds (1244.99 hours), 3541524.784570
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,8,3600,0.982,359594.971 seconds (99.89 hours), 6742415.849 seconds (1872.89 hours), 1879475.630340
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,8,4800,0.909,154805.584 seconds (43.00 hours), 3764424.295 seconds (1045.67 hours), 2505967.507121
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,8,14400,0.310,101244.703 seconds (28.12 hours), 7922924.659 seconds (2200.81 hours), 7517902.521362
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,8,7200,0.665,112547.723 seconds (31.26 hours), 4324536.847 seconds (1201.26 hours), 3758951.260681
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,5,3600,0.896,113669.302 seconds (31.57 hours), 2744662.506 seconds (762.41 hours), 1912602.417248
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,5,4800,0.723,86444.128 seconds (24.01 hours), 2917105.336 seconds (810.31 hours), 2550136.556331
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,5,14400,0.263,83739.957 seconds (23.26 hours), 7439935.022 seconds (2066.65 hours), 7650409.668993
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,5,7200,0.501,80788.158 seconds (22.44 hours), 3963584.256 seconds (1101.00 hours), 3825204.834496
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,9,3600,0.870,73002.319 seconds (20.28 hours), 2673386.070 seconds (742.61 hours), 1770762.392285
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,9,4800,0.691,67976.096 seconds (18.88 hours), 3063382.788 seconds (850.94 hours), 2361016.523046
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,9,14400,0.254,70926.588 seconds (19.70 hours), 7912743.209 seconds (2197.98 hours), 7083049.569139
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,9,7200,0.486,68202.203 seconds (18.95 hours), 4250141.145 seconds (1180.59 hours), 3541524.784570
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,8,3600,0.945,146747.123 seconds (40.76 hours), 3327866.213 seconds (924.41 hours), 1879475.630340
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,8,4800,0.767,95652.411 seconds (26.57 hours), 3022110.505 seconds (839.48 hours), 2505967.507121
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,8,14400,0.283,90963.774 seconds (25.27 hours), 7891228.468 seconds (2192.01 hours), 7517902.521362
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,8,7200,0.533,87694.125 seconds (24.36 hours), 4259717.216 seconds (1183.25 hours), 3758951.260681
