cluster_spec,policy_name,seed,total_jobs,cost,utilization,average_completion_time,total_completion_time
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,1000,22868.15,0.936,936852.671 seconds (260.24 hours),3229269.481 seconds (897.02 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,500,10512.68,0.846,445104.144 seconds (123.64 hours),1644304.555 seconds (456.75 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,875,19702.29,0.925,812010.169 seconds (225.56 hours),2814559.768 seconds (781.82 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,750,17285.59,0.921,705575.809 seconds (195.99 hours),2481028.010 seconds (689.17 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,625,14684.93,0.911,602322.910 seconds (167.31 hours),2129839.623 seconds (591.62 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,9,1000,22406.20,0.950,908466.696 seconds (252.35 hours),3116957.664 seconds (865.82 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,9,500,12050.57,0.905,500424.082 seconds (139.01 hours),1758512.352 seconds (488.48 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,9,875,18910.84,0.941,765038.693 seconds (212.51 hours),2656144.538 seconds (737.82 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,9,750,16569.70,0.940,679698.825 seconds (188.81 hours),2328344.160 seconds (646.76 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,9,625,14211.48,0.927,588768.060 seconds (163.55 hours),2026677.135 seconds (562.97 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,8,1000,25515.70,0.960,1009588.132 seconds (280.44 hours),3512543.297 seconds (975.71 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,8,500,12057.87,0.891,487775.648 seconds (135.49 hours),1787471.533 seconds (496.52 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,8,875,22050.84,0.952,858963.405 seconds (238.60 hours),3060334.485 seconds (850.09 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,8,750,18883.72,0.941,743222.286 seconds (206.45 hours),2649332.892 seconds (735.93 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,8,625,15283.74,0.919,611452.434 seconds (169.85 hours),2199476.157 seconds (610.97 hours)
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,5,1000,26298.37,0.904,1169893.407 seconds (324.97 hours),4408075.165 seconds (1224.47 hours)
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,5,500,12133.77,0.831,555916.354 seconds (154.42 hours),2207859.834 seconds (613.29 hours)
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,5,875,22629.59,0.894,1013853.369 seconds (281.63 hours),3835816.469 seconds (1065.50 hours)
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,5,750,19905.23,0.886,883432.818 seconds (245.40 hours),3403755.400 seconds (945.49 hours)
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,5,625,16955.21,0.881,753952.031 seconds (209.43 hours),2917434.182 seconds (810.40 hours)
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,9,1000,25434.69,0.929,1116733.330 seconds (310.20 hours),4146976.067 seconds (1151.94 hours)
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,9,500,13716.95,0.895,621635.460 seconds (172.68 hours),2320447.232 seconds (644.57 hours)
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,9,875,21439.14,0.910,943598.756 seconds (262.11 hours),3569841.452 seconds (991.62 hours)
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,9,750,18782.87,0.901,839208.348 seconds (233.11 hours),3157172.406 seconds (876.99 hours)
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,9,625,16173.91,0.901,732210.615 seconds (203.39 hours),2722333.210 seconds (756.20 hours)
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,8,1000,29033.13,0.920,1232130.848 seconds (342.26 hours),4780640.170 seconds (1327.96 hours)
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,8,500,13538.93,0.843,586449.803 seconds (162.90 hours),2429699.872 seconds (674.92 hours)
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,8,875,25202.01,0.907,1051460.838 seconds (292.07 hours),4206312.248 seconds (1168.42 hours)
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,8,750,21592.78,0.890,902504.769 seconds (250.70 hours),3676090.195 seconds (1021.14 hours)
v100=5.p100=5.k80=10,shared_cloud_cost_fairness,8,625,17301.31,0.859,742183.652 seconds (206.16 hours),3049018.866 seconds (846.95 hours)
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,5,1000,23773.72,0.914,988092.187 seconds (274.47 hours),3602453.650 seconds (1000.68 hours)
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,5,500,10851.36,0.818,467273.838 seconds (129.80 hours),1838109.511 seconds (510.59 hours)
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,5,875,20456.73,0.901,854625.846 seconds (237.40 hours),3145220.896 seconds (873.67 hours)
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,5,750,17888.49,0.886,739669.217 seconds (205.46 hours),2796132.060 seconds (776.70 hours)
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,5,625,15175.48,0.873,632177.868 seconds (175.60 hours),2406956.878 seconds (668.60 hours)
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,9,1000,23053.79,0.933,949989.254 seconds (263.89 hours),3420949.587 seconds (950.26 hours)
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,9,500,12335.58,0.893,524538.204 seconds (145.71 hours),1913471.233 seconds (531.52 hours)
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,9,875,19339.17,0.930,798391.396 seconds (221.78 hours),2878395.480 seconds (799.55 hours)
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,9,750,16957.57,0.925,711383.511 seconds (197.61 hours),2539921.407 seconds (705.53 hours)
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,9,625,14567.26,0.903,617490.280 seconds (171.53 hours),2233958.775 seconds (620.54 hours)
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,8,1000,26517.62,0.924,1051674.855 seconds (292.13 hours),3974216.528 seconds (1103.95 hours)
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,8,500,12453.47,0.840,511242.142 seconds (142.01 hours),2052366.816 seconds (570.10 hours)
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,8,875,23006.64,0.913,898416.803 seconds (249.56 hours),3489747.115 seconds (969.37 hours)
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,8,750,19750.28,0.901,776657.488 seconds (215.74 hours),3034224.549 seconds (842.84 hours)
v100=5.p100=10.k80=5,shared_cloud_cost_fairness,8,625,15933.73,0.869,640658.269 seconds (177.96 hours),2539883.521 seconds (705.52 hours)
