cluster_spec,policy_name,seed,total_jobs,cost,utilization,average_completion_time,total_completion_time
v100=10.p100=5.k80=5,gandiva,5,1000,0.00,0.911,827094.172 seconds (229.75 hours),3153379.537 seconds (875.94 hours)
v100=10.p100=5.k80=5,gandiva,5,500,0.00,0.826,402471.098 seconds (111.80 hours),1578798.390 seconds (438.56 hours)
v100=10.p100=5.k80=5,gandiva,5,875,0.00,0.915,714833.419 seconds (198.56 hours),2734257.927 seconds (759.52 hours)
v100=10.p100=5.k80=5,gandiva,5,750,0.00,0.889,622240.335 seconds (172.84 hours),2473230.021 seconds (687.01 hours)
v100=10.p100=5.k80=5,gandiva,5,625,0.00,0.886,529908.866 seconds (147.20 hours),2078514.732 seconds (577.37 hours)
v100=10.p100=5.k80=5,gandiva,9,1000,0.00,0.894,818973.738 seconds (227.49 hours),3237775.991 seconds (899.38 hours)
v100=10.p100=5.k80=5,gandiva,9,500,0.00,0.826,432256.530 seconds (120.07 hours),1756314.646 seconds (487.87 hours)
v100=10.p100=5.k80=5,gandiva,9,875,0.00,0.890,673442.141 seconds (187.07 hours),2670332.479 seconds (741.76 hours)
v100=10.p100=5.k80=5,gandiva,9,750,0.00,0.877,601063.518 seconds (166.96 hours),2366739.678 seconds (657.43 hours)
v100=10.p100=5.k80=5,gandiva,9,625,0.00,0.853,521508.203 seconds (144.86 hours),2050623.021 seconds (569.62 hours)
v100=10.p100=5.k80=5,gandiva,8,1000,0.00,0.941,919930.283 seconds (255.54 hours),3531174.538 seconds (980.88 hours)
v100=10.p100=5.k80=5,gandiva,8,500,0.00,0.841,442466.058 seconds (122.91 hours),1858342.363 seconds (516.21 hours)
v100=10.p100=5.k80=5,gandiva,8,875,0.00,0.932,780775.247 seconds (216.88 hours),3072964.325 seconds (853.60 hours)
v100=10.p100=5.k80=5,gandiva,8,750,0.00,0.891,669568.318 seconds (185.99 hours),2715664.635 seconds (754.35 hours)
v100=10.p100=5.k80=5,gandiva,8,625,0.00,0.910,555534.228 seconds (154.32 hours),2166290.346 seconds (601.75 hours)
v100=10.p100=5.k80=5,allox,5,1000,0.00,0.884,452189.882 seconds (125.61 hours),3335927.978 seconds (926.65 hours)
v100=10.p100=5.k80=5,allox,5,500,0.00,0.787,227155.641 seconds (63.10 hours),1678777.952 seconds (466.33 hours)
v100=10.p100=5.k80=5,allox,5,875,0.00,0.886,395259.675 seconds (109.79 hours),2859206.336 seconds (794.22 hours)
v100=10.p100=5.k80=5,allox,5,750,0.00,0.872,347669.537 seconds (96.57 hours),2544827.303 seconds (706.90 hours)
v100=10.p100=5.k80=5,allox,5,625,0.00,0.820,301362.472 seconds (83.71 hours),2298444.962 seconds (638.46 hours)
v100=10.p100=5.k80=5,allox,9,1000,0.00,0.900,439471.291 seconds (122.08 hours),3193760.240 seconds (887.16 hours)
v100=10.p100=5.k80=5,allox,9,500,0.00,0.846,256518.056 seconds (71.26 hours),1808051.917 seconds (502.24 hours)
v100=10.p100=5.k80=5,allox,9,875,0.00,0.886,372775.586 seconds (103.55 hours),2730305.010 seconds (758.42 hours)
v100=10.p100=5.k80=5,allox,9,750,0.00,0.877,335008.624 seconds (93.06 hours),2421029.840 seconds (672.51 hours)
v100=10.p100=5.k80=5,allox,9,625,0.00,0.869,294791.102 seconds (81.89 hours),2087573.220 seconds (579.88 hours)
v100=10.p100=5.k80=5,allox,8,1000,0.00,0.901,490708.851 seconds (136.31 hours),3643788.735 seconds (1012.16 hours)
v100=10.p100=5.k80=5,allox,8,500,0.00,0.834,252550.967 seconds (70.15 hours),1830955.516 seconds (508.60 hours)
v100=10.p100=5.k80=5,allox,8,875,0.00,0.900,421756.638 seconds (117.15 hours),3142880.240 seconds (873.02 hours)
v100=10.p100=5.k80=5,allox,8,750,0.00,0.864,368253.060 seconds (102.29 hours),2794362.406 seconds (776.21 hours)
v100=10.p100=5.k80=5,allox,8,625,0.00,0.826,308181.574 seconds (85.61 hours),2350348.438 seconds (652.87 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,1000,22868.15,0.936,936852.671 seconds (260.24 hours),3229269.481 seconds (897.02 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,500,10512.68,0.846,445104.144 seconds (123.64 hours),1644304.555 seconds (456.75 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,875,19702.29,0.925,812010.169 seconds (225.56 hours),2814559.768 seconds (781.82 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,750,17285.59,0.921,705575.809 seconds (195.99 hours),2481028.010 seconds (689.17 hours)
v100=10.p100=5.k80=5,shared_cloud_cost_fairness,5,625,14684.93,0.911,602322.910 seconds (167.31 hours),2129839.623 seconds (591.62 hours)
